record_type,match_id,team_a_abbr,team_b_abbr,team_a_name,team_b_name,date,time,ml_a,ml_b,ml_draw,ml_a_pct,ml_b_pct,ml_draw_pct,total_line,team_a_total,team_b_total,score_a,score_b,matrix_prob,team,pos,slot,name,flex_salary,cpt_salary,fpts,fpts_per_k,flex_opto_pct,cpt_opto_pct,flex_proj_own,cpt_proj_own,minutes,xg,xa,shots,goal_odds,goal_book,assist_odds,assist_book,soa_odds,soa_book,sot_line,sot_odds,sot_book,ck_taker,fk_taker,inj_status,inj_detail,preview_type,preview_text,preview_team
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,M5,Morgan Rogers,6000,9000,8.02,1.337,23.16,3.37,21.66,1.65,82.0,0.17,0.15,1.3,1100,Caesars NJ,450,bet365 NJ,210,bet365 NJ,1.5,1300,Betfair UK,0,0,,,,,
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,M5,Noni Madueke,6000,9000,8.27,1.378,24.31,3.71,22.99,1.98,60.0,0.18,0.15,1.14,1100,Caesars NJ,450,bet365 NJ,210,bet365 NJ,1.5,1400,Betfair UK,0,0,,,,,
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,D1,Nico O'Reilly,5000,7600,6.57,1.314,17.98,1.5,10.33,0.10,82.0,0.07,0.11,0.79,2000,Caesars NJ,700,Caesars NJ,350,bet365 NJ,1.5,4500,Betfair UK,0,0,,,,,
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,GK1,Jordan Pickford,4800,7200,5.48,1.142,22.92,1.53,3.00,0.10,90.0,0.0,0.0,0.0,,,,,,,,,,0,0,,,,,
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,D1,Djed Spence,4200,6400,5.5,1.31,12.84,0.53,2.67,0.10,68.0,0.03,0.1,0.48,3300,Caesars NJ,750,Caesars NJ,500,bet365 NJ,1.5,3500,Betfair UK,0,0,,,,,
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,M1,Eberechi Eze,3800,5600,10.78,2.837,40.93,6.87,64.65,20.77,80.0,0.18,0.15,1.74,1100,Caesars NJ,450,bet365 NJ,200,FanDuel NJ,1.5,1400,Betfair UK,1,0,,,,,
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,M2,Kobbie Mainoo,3600,5400,4.11,1.142,7.67,0.44,0.50,0.10,80.0,0.06,0.09,0.65,2900,Caesars NJ,750,Caesars NJ,400,bet365 NJ,1.5,4000,Skybet,0,0,,,,,
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,D2,Marc Guehi,3400,5200,4.99,1.468,10.22,0.31,1.67,0.10,85.0,0.03,0.04,0.41,3300,Caesars NJ,1500,FanDuel NJ,850,bet365 NJ,1.5,5500,Betfair UK,0,0,,,,,
PLAYER,ENG_FRA,FRA,ENG,France,England,18-Jul,5:00:00 PM,,,,,,,,,,,,,ENG,,D4,Ezri Konsa,3000,4400,5.04,1.68,10.56,0.4,4.00,0.10,85.0,0.02,0.06,0.36,2500,DK NJ,1500,FanDuel NJ,1000,bet365 NJ,1.5,5500,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,S2,Lionel Messi,12400,18600,20.07,1.619,32.88,30.71,59.33,29.19,90.0,0.46,0.2,3.49,550,Caesars NJ,333,bet365 NJ,-111,bet365 NJ,1.5,350,Betfair UK,1,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,S1,Julian Alvarez,7600,11400,9.11,1.199,23.41,5.05,20.33,1.99,82.0,0.27,0.1,1.97,850,Caesars NJ,575,Caesars NJ,180,FanDuel NJ,1.5,800,Skybet,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,M1,Enzo Fernandez,7000,10400,8.3,1.186,22.8,2.28,17.67,2.65,90.0,0.1,0.08,1.4,1900,Caesars NJ,700,Caesars NJ,333,bet365 NJ,1.5,2000,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,M4,Giuliano Simeone,6600,10000,7.57,1.147,20.4,2.16,18.33,1.33,70.0,0.12,0.11,1.39,1500,Caesars NJ,600,FanDuel NJ,300,FanDuel NJ,1.5,1800,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,M2,Alexis Mac Allister,6000,9000,7.43,1.238,20.82,1.59,18.67,2.32,90.0,0.07,0.07,1.49,2300,Caesars NJ,750,FanDuel NJ,430,FanDuel NJ,1.5,3500,Betfair UK,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,GK1,Emiliano Martinez,5400,8000,4.89,0.906,22.23,0.97,1.33,0.10,90.0,0.0,0.0,0.0,,,,,,,,,,0,0,,,,,
PLAYER,ARG_ESP,ARG,ESP,Argentina,Spain,19-Jul,3:00:00 PM,,,,,,,,,,,,,ARG,,D1,Nicolas Tagliafico,4600,6800,6.08,1.322,17.92,0.85,14.33,0.10,78.0,0.03,0.07,0.36,3500,Caesars NJ,1000,FanDuel NJ,750,bet365 NJ,1.5,4000,Betfair UK,0,0,,,,,
